series,episode,baker_name,first_name,technical,result,signature_bake,show_stopper,baker_age,baker_occupation,hometown
2,1,Ben Frazer,Ben,2,IN,Rhubarb and Custard CupcakesAfter Dinner Cupcakes,Vanilla Sponge with White Chocolate and Raspberry Buttercream,31,Graphic Designer,Northampton
2,2,Ben Frazer,Ben,1,IN,"Chorizo, Pepper and Gruyere Quiche",Lemon Meringue Tarts,31,Graphic Designer,Northampton
2,3,Ben Frazer,Ben,3,IN,"Walnut, Raisin and Rosemary Loaf",UNKNOWN,31,Graphic Designer,Northampton
2,4,Ben Frazer,Ben,5,OUT,Stem Ginger Nuts,Chocolate and Almond MacaronsPine Nut MacaronsPistachio Macarons,31,Graphic Designer,Northampton
2,5,Ben Frazer,Ben,NA,NA,NA,NA,31,Graphic Designer,Northampton
2,6,Ben Frazer,Ben,NA,NA,NA,NA,31,Graphic Designer,Northampton
2,7,Ben Frazer,Ben,NA,NA,NA,NA,31,Graphic Designer,Northampton
2,8,Ben Frazer,Ben,NA,NA,NA,NA,31,Graphic Designer,Northampton
2,1,Holly Bell,Holly,1,STAR BAKER,Cherry Bakewell Inspired CupcakesGinger Cupcakes with Fig Truffle,UNKNOWN,31,Advertising executive,Leicester
2,2,Holly Bell,Holly,4,IN,Pesto Quiche,Milk Chocolate and Pistachio TartsTrifle Tarts,31,Advertising executive,Leicester
2,3,Holly Bell,Holly,6,IN,Picnic Loaf,Stilton and Walnut Rolls,31,Advertising executive,Leicester
2,4,Holly Bell,Holly,3,STAR BAKER,Strawberry and Custard Melts,"'Chocolate bars of my youth'
(Caramel Macarons, Mint Chocolate Macarons and Chocolate Orange Macarons)",31,Advertising executive,Leicester
2,5,Holly Bell,Holly,4,IN,"Stilton, Potato and Caramelised Onion Pie",Lime Meringue Pie,31,Advertising executive,Leicester
2,6,Holly Bell,Holly,3,IN,Father Christmas' Baked Cheesecake,Hansel and Gretel's Croquembouche,31,Advertising executive,Leicester
